Parit,Teur_parit,Quantity,price_parit,Size,Shelf_Number,Teur_order,CategoryID,Related,ExpDate,incomeQuantity,DateStartStatistic
000000000002023320,שמן למנוע 2T (2 פעימות לתערובת),7,40.07,לטר,19,שמן למנוע 2T (2 פעימות לתערובת),1,,,3,9/19/2019
000000000002023322,שמן מנוע 10W40 חצי סינטטי ,5,81.72,לטר,19,שמן מנוע 10W40 חצי סינטטי ,1,,,4,9/19/2019
000000000002023341,מיכל עודפים למדפסות סמסונג/אפסון,14,66.8,יח,14,מיכל עודפים למדפסות סמסונג/אפסון,19,,,8,9/19/2019
000000000002023780,מגב לחלונות,110,4.8,יח,25,מגב לחלונות,1,,,16,9/19/2019
000000000002023798,מטאטא כביש,14,12.39,יח,25,מטאטא כביש,30,,,,
000000000002023823,מפצל רב כח עם כבל 4/6,33,18.71,יח,17,מפצל רב כח עם כבל 4/6,22,,,15,9/19/2019
000000000002023837,מקלטר,7,76.7,יח,10,מקלטר,31,,,0,9/19/2019
000000000002023898,ערכת אטימה - חבקי מתכת,13,10.54,יח,19,ערכת אטימה - חבקי מתכת,1,,,13,9/19/2019
000000000002023911,קופסת חיבורים ניסקו,166,3.3,יח,17,קופסת חיבורים ניסקו,1,,,73,9/19/2019
000000000002023954,דיסק קשיח פנימי SSD 1TB,0,460.2,יח,15,דיסק קשיח פנימי SSD 1TB,27,,,1,9/19/2019
000000000002024152,מסכה כירורגית-להכניס הזמנה בכפולות של 50,4298,0.19,יח,11,מסכה כירורגית-להכניס הזמנה בכפולות של 50,1,,,,
000000000002024158,סט מקדחים,20,16.52,סט,1,סט מקדחים,1,,,,
000000000002024221,צינור עיוור 16 דרג 4מחיר למטר (50 במארז),1180,1.06,מטר,25,צינור עיוור 16 דרג 4מחיר למטר (50 במארז),1,,,1000,9/19/2019
000000000002024261,כונן גיבוי חיצוני 2T,10,416.54,יח,15,כונן גיבוי חיצוני 2T,27,,,22,9/19/2019
000000000002024336,מפתח שבדי 6,10,34.36,יח,25,מפתח שבדי 6,30,,,1,9/19/2019
000000000002024337,מפתח שבדי 8,4,50.99,יח,25,מפתח שבדי 8,30,,,3,9/19/2019
000000000002024338,מפתח שבדי 10,3,68.39,יח,25,מפתח שבדי 10,30,,,2,9/19/2019
000000000002024339,מפתח שבדי 12,0,86.8,יח,25,מפתח שבדי 12,30,,,2,9/19/2019
000000000002024373,טונר צבעוני למדפסת סמסונג,48,107.09,יח,14,טונר צבעוני למדפסת סמסונג,19,,,64,9/19/2019
000000000002024374,טונר  שחור למדפסות סמסונג/גסטטנר/LEXMARK,31,152.38,יח,14,טונר  שחור למדפסות סמסונג/גסטטנר/LEXMARK,19,,,37,9/19/2019
000000000002024376,טונר למדפסת EPSON  579-R - מחיר ליחידה!,12,427.37,יח,14,טונר למדפסת EPSON  579-R - מחיר ליחידה!,27,,,,
000000000002024389,אלחוזר 1/4 ממתכת למים,14,45.75,יח,21,אלחוזר 1/4 ממתכת למים,23,,,13,9/19/2019
000000000002024453,צבע  פוליאור,9,69.6,יח,2,צבע  פוליאור,1,,,3,9/19/2019
000000000002024489,משקפי מגן לכימיקלים,10,28.32,יח,9,משקפי מגן לכימיקלים,1,,,40,9/19/2019
000000000002024520,צינור 25 דרג 4 (המחיר לפי מטר),250,1.95,מטר,25,צינור 25 דרג 4 (המחיר לפי מטר),1,,,300,9/19/2019
000000000002024627,מצבר 12 V,3,70.21,יח,18,מצבר 12 V,1,,,9,9/19/2019
000000000002024634,ראונדאפ 1 ליטר,0,65.63,יח,23,ראונדאפ 1 ליטר,1,,,0,9/19/2019
000000000002024638,בסטה,0,190.28,יח,0,בסטה,29,,,11,9/19/2019
000000000002024732,גוף תאורה פנל לד 60X60 40,40,58.41,יח,25,גוף תאורה פנל לד 60X60 40,22,,,5,9/19/2019
000000000002024786,גוף תאורה עגול 18 מעל הטיח,11,49.6,יח,18,"גוף תאורה עגול 18"" מעל הטיח",22,,,,
000000000002024847,מרסס  5 ליטר,8,52.84,יח,10,מרסס  5 ליטר,31,,,11,9/19/2019
000000000002024848,נוזל נקיון לאסלה,104,7.33,יח,25,נוזל נקיון לאסלה,1,,,335,9/19/2019
000000000002024849,פח אשפה עם מכסה - 76 ליטר,1,44.06,יח,25,פח אשפה עם מכסה - 76 ליטר,1,,,4,9/19/2019
000000000002024854,גל אלכוהול,64,10.5,יח,1,גל אלכוהול,24,,,8,9/19/2019
000000000002024855,צינור גן 1/2,3,61.59,יח,10,צינור גן 1/2,1,,,10,9/19/2019
000000000002024856,צינור גומי לגז,0,8.07,מטר,8,צינור גומי לגז,1,,,0,9/19/2019
000000000002024859,"טי מתכת ""2",10,34.99,יח,21,"טי מתכת ""2",23,,,0,9/19/2019
000000000002024868,רדיד אלומיניום גדול,24,31.27,יח,8,רדיד אלומיניום גדול,1,,,49,9/19/2019
000000000002024870,שקית נייר גודל בינוני 2-16 (ארוז 1000),0,88.59,חב,25,שקית נייר גודל בינוני 2-16 (ארוז 1000),1,,,37,9/19/2019
000000000002024871,שקית נייר גודל   16 עד 20 לציין גדלים,0,79.12,יח,25,שקית נייר גודל   16 עד 20 לציין גדלים,1,,,19,9/19/2019
